"record_id","incident_date","area_key","display_name","crime_type","time_of_day","day_of_week","incident_count","base_risk_score","latitude","longitude","population_band","poverty_index","unemployment_index"
"17","2024-01-01","gulberg","Gulberg","Fraud","night","Monday","6","2","24.905","67.05","high","0.44","0.36"
"18","2024-01-01","shah-faisal","Shah Faisal","Mobile Snatching","night","Monday","6","2","24.884","67.162","high","0.48","0.39"
"19","2024-01-01","pechs","PECHS","Bike Snatching","night","Monday","4","1","24.8775","67.0746","high","0.31","0.24"
"20","2024-01-01","jamshed-town","Jamshed Town","Kidnapping","night","Monday","6","2","24.879","67.058","high","0.42","0.34"
"21","2024-01-01","surjani-town","Surjani Town","Robbery","day","Monday","6","3","25.002","67.066","high","0.62","0.49"
"22","2024-01-01","new-karachi","New Karachi","Street Crime","day","Monday","6","3","24.985","67.062","high","0.6","0.48"
"23","2024-01-01","scheme-33","Scheme 33","Assault","night","Monday","6","2","24.956","67.153","medium","0.45","0.36"
"24","2024-01-01","sohrab-goth","Sohrab Goth","Vehicle Theft","day","Monday","6","3","25.001","67.122","medium","0.64","0.51"
"25","2024-01-01","sakhi-hasan","Sakhi Hasan","Vehicle Theft","night","Monday","6","2","24.955","67.064","medium","0.41","0.33"
"26","2024-01-01","defence-view","Defence View","Fraud","night","Monday","4","1","24.821","67.021","medium","0.29","0.21"
"27","2024-01-01","kharadar","Kharadar","Assault","night","Monday","6","2","24.846","67.004","medium","0.5","0.4"
"28","2024-01-01","site-area","SITE Area","Bike Snatching","day","Monday","6","3","24.936","67","medium","0.61","0.5"
"29","2024-01-01","banaras","Banaras","Street Crime","day","Monday","6","3","24.972","67.013","medium","0.65","0.53"
"30","2024-01-01","mehmoodabad","Mehmoodabad","Robbery","night","Monday","6","2","24.8465","67.0588","high","0.47","0.37"
"31","2024-01-08","clifton","Clifton","Street Crime","night","Monday","5","1","24.8138","67.0306","high","0.28","0.22"
"32","2024-01-08","dha","DHA","Vehicle Theft","night","Monday","5","1","24.8055","67.0672","high","0.25","0.19"
"33","2024-01-08","saddar","Saddar","Assault","night","Monday","9","3","24.8547","67.0268","high","0.52","0.44"
"34","2024-01-08","gulshan","Gulshan","Mobile Snatching","day","Monday","5","2","24.9207","67.0862","high","0.41","0.33"
"35","2024-01-08","gulistan-e-johar","Gulistan-e-Johar","Mobile Snatching","day","Monday","5","2","24.92","67.1344","high","0.43","0.35"
"36","2024-01-08","nazimabad","Nazimabad","Fraud","day","Monday","5","2","24.9262","67.0407","high","0.47","0.38"
"37","2024-01-08","north-nazimabad","North Nazimabad","Fraud","night","Monday","5","1","24.9388","67.0453","medium","0.34","0.28"
"38","2024-01-08","lyari","Lyari","Assault","night","Monday","9","3","24.8607","66.9904","medium","0.68","0.52"
"39","2024-01-08","malir","Malir","Street Crime","day","Monday","5","2","24.8937","67.1984","high","0.49","0.41"
"40","2024-01-08","korangi","Korangi","Burglary","day","Monday","5","2","24.8323","67.1474","high","0.51","0.43"
"41","2024-01-08","landhi","Landhi","Robbery","night","Monday","9","3","24.84","67.19","high","0.58","0.46"
"42","2024-01-08","orangi-town","Orangi Town","Street Crime","night","Monday","9","3","24.9519","66.9698","high","0.69","0.55"
"43","2024-01-08","baldia-town","Baldia Town","Robbery","night","Monday","9","3","24.9383","66.9448","high","0.66","0.53"
"44","2024-01-08","keamari","Keamari","Robbery","night","Monday","9","3","24.815","66.975","medium","0.63","0.5"
"45","2024-01-08","garden","Garden","Burglary","day","Monday","5","2","24.8733","67.0167","medium","0.46","0.37"
"46","2024-01-08","fb-area","FB Area","Mobile Snatching","day","Monday","5","2","24.933","67.07","high","0.39","0.31"
"47","2024-01-08","gulberg","Gulberg","Kidnapping","day","Monday","5","2","24.905","67.05","high","0.44","0.36"
"48","2024-01-08","shah-faisal","Shah Faisal","Vehicle Theft","day","Monday","5","2","24.884","67.162","high","0.48","0.39"
"49","2024-01-08","pechs","PECHS","Burglary","night","Monday","5","1","24.8775","67.0746","high","0.31","0.24"
"50","2024-01-08","jamshed-town","Jamshed Town","Street Crime","day","Monday","5","2","24.879","67.058","high","0.42","0.34"
"51","2024-01-08","surjani-town","Surjani Town","Assault","night","Monday","9","3","25.002","67.066","high","0.62","0.49"
"52","2024-01-08","new-karachi","New Karachi","Mobile Snatching","night","Monday","9","3","24.985","67.062","high","0.6","0.48"
"53","2024-01-08","scheme-33","Scheme 33","Drug Offense","day","Monday","5","2","24.956","67.153","medium","0.45","0.36"
"54","2024-01-08","sohrab-goth","Sohrab Goth","Bike Snatching","night","Monday","9","3","25.001","67.122","medium","0.64","0.51"
"55","2024-01-08","sakhi-hasan","Sakhi Hasan","Bike Snatching","day","Monday","5","2","24.955","67.064","medium","0.41","0.33"
"56","2024-01-08","defence-view","Defence View","Kidnapping","night","Monday","5","1","24.821","67.021","medium","0.29","0.21"
"57","2024-01-08","kharadar","Kharadar","Drug Offense","day","Monday","5","2","24.846","67.004","medium","0.5","0.4"
"58","2024-01-08","site-area","SITE Area","Burglary","night","Monday","9","3","24.936","67","medium","0.61","0.5"
"59","2024-01-08","banaras","Banaras","Mobile Snatching","night","Monday","9","3","24.972","67.013","medium","0.65","0.53"
"60","2024-01-08","mehmoodabad","Mehmoodabad","Assault","day","Monday","5","2","24.8465","67.0588","high","0.47","0.37"
"61","2024-01-15","clifton","Clifton","Mobile Snatching","day","Monday","4","1","24.8138","67.0306","high","0.28","0.22"
"62","2024-01-15","dha","DHA","Bike Snatching","day","Monday","4","1","24.8055","67.0672","high","0.25","0.19"
"63","2024-01-15","saddar","Saddar","Drug Offense","night","Monday","10","3","24.8547","67.0268","high","0.52","0.44"
"64","2024-01-15","gulshan","Gulshan","Vehicle Theft","night","Monday","8","2","24.9207","67.0862","high","0.41","0.33"
"65","2024-01-15","gulistan-e-johar","Gulistan-e-Johar","Vehicle Theft","night","Monday","8","2","24.92","67.1344","high","0.43","0.35"
"66","2024-01-15","nazimabad","Nazimabad","Kidnapping","night","Monday","8","2","24.9262","67.0407","high","0.47","0.38"
"67","2024-01-15","north-nazimabad","North Nazimabad","Kidnapping","day","Monday","4","1","24.9388","67.0453","medium","0.34","0.28"
"68","2024-01-15","lyari","Lyari","Drug Offense","night","Monday","10","3","24.8607","66.9904","medium","0.68","0.52"
"69","2024-01-15","malir","Malir","Mobile Snatching","night","Monday","8","2","24.8937","67.1984","high","0.49","0.41"
"70","2024-01-15","korangi","Korangi","Robbery","night","Monday","8","2","24.8323","67.1474","high","0.51","0.43"
"71","2024-01-15","landhi","Landhi","Assault","night","Monday","10","3","24.84","67.19","high","0.58","0.46"
"72","2024-01-15","orangi-town","Orangi Town","Mobile Snatching","night","Monday","10","3","24.9519","66.9698","high","0.69","0.55"
"73","2024-01-15","baldia-town","Baldia Town","Assault","night","Monday","10","3","24.9383","66.9448","high","0.66","0.53"
"74","2024-01-15","keamari","Keamari","Assault","night","Monday","10","3","24.815","66.975","medium","0.63","0.5"
"75","2024-01-15","garden","Garden","Robbery","night","Monday","8","2","24.8733","67.0167","medium","0.46","0.37"
"76","2024-01-15","fb-area","FB Area","Vehicle Theft","night","Monday","8","2","24.933","67.07","high","0.39","0.31"
"77","2024-01-15","gulberg","Gulberg","Street Crime","night","Monday","8","2","24.905","67.05","high","0.44","0.36"
"78","2024-01-15","shah-faisal","Shah Faisal","Bike Snatching","night","Monday","8","2","24.884","67.162","high","0.48","0.39"
"79","2024-01-15","pechs","PECHS","Robbery","day","Monday","4","1","24.8775","67.0746","high","0.31","0.24"
"80","2024-01-15","jamshed-town","Jamshed Town","Mobile Snatching","night","Monday","8","2","24.879","67.058","high","0.42","0.34"
"81","2024-01-15","surjani-town","Surjani Town","Drug Offense","night","Monday","10","3","25.002","67.066","high","0.62","0.49"
"82","2024-01-15","new-karachi","New Karachi","Vehicle Theft","night","Monday","10","3","24.985","67.062","high","0.6","0.48"
"83","2024-01-15","scheme-33","Scheme 33","Fraud","night","Monday","8","2","24.956","67.153","medium","0.45","0.36"
"84","2024-01-15","sohrab-goth","Sohrab Goth","Burglary","night","Monday","10","3","25.001","67.122","medium","0.64","0.51"
"85","2024-01-15","sakhi-hasan","Sakhi Hasan","Burglary","night","Monday","8","2","24.955","67.064","medium","0.41","0.33"
"86","2024-01-15","defence-view","Defence View","Street Crime","day","Monday","4","1","24.821","67.021","medium","0.29","0.21"
"87","2024-01-15","kharadar","Kharadar","Fraud","night","Monday","8","2","24.846","67.004","medium","0.5","0.4"
"88","2024-01-15","site-area","SITE Area","Robbery","night","Monday","10","3","24.936","67","medium","0.61","0.5"
"89","2024-01-15","banaras","Banaras","Vehicle Theft","night","Monday","10","3","24.972","67.013","medium","0.65","0.53"
"90","2024-01-15","mehmoodabad","Mehmoodabad","Drug Offense","night","Monday","8","2","24.8465","67.0588","high","0.47","0.37"
"91","2024-01-22","clifton","Clifton","Vehicle Theft","night","Monday","7","1","24.8138","67.0306","high","0.28","0.22"
"92","2024-01-22","dha","DHA","Burglary","night","Monday","7","1","24.8055","67.0672","high","0.25","0.19"
"93","2024-01-22","saddar","Saddar","Fraud","day","Monday","9","3","24.8547","67.0268","high","0.52","0.44"
"94","2024-01-22","gulshan","Gulshan","Bike Snatching","night","Monday","9","2","24.9207","67.0862","high","0.41","0.33"
"95","2024-01-22","gulistan-e-johar","Gulistan-e-Johar","Bike Snatching","night","Monday","9","2","24.92","67.1344","high","0.43","0.35"
"96","2024-01-22","nazimabad","Nazimabad","Street Crime","night","Monday","9","2","24.9262","67.0407","high","0.47","0.38"
"97","2024-01-22","north-nazimabad","North Nazimabad","Street Crime","night","Monday","7","1","24.9388","67.0453","medium","0.34","0.28"
"98","2024-01-22","lyari","Lyari","Fraud","day","Monday","9","3","24.8607","66.9904","medium","0.68","0.52"
"99","2024-01-22","malir","Malir","Vehicle Theft","night","Monday","9","2","24.8937","67.1984","high","0.49","0.41"
"100","2024-01-22","korangi","Korangi","Assault","night","Monday","9","2","24.8323","67.1474","high","0.51","0.43"
"101","2024-01-22","landhi","Landhi","Drug Offense","day","Monday","9","3","24.84","67.19","high","0.58","0.46"
"102","2024-01-22","orangi-town","Orangi Town","Vehicle Theft","day","Monday","9","3","24.9519","66.9698","high","0.69","0.55"
"103","2024-01-22","baldia-town","Baldia Town","Drug Offense","day","Monday","9","3","24.9383","66.9448","high","0.66","0.53"
"104","2024-01-22","keamari","Keamari","Drug Offense","day","Monday","9","3","24.815","66.975","medium","0.63","0.5"
"105","2024-01-22","garden","Garden","Assault","night","Monday","9","2","24.8733","67.0167","medium","0.46","0.37"
"106","2024-01-22","fb-area","FB Area","Bike Snatching","night","Monday","9","2","24.933","67.07","high","0.39","0.31"
"107","2024-01-22","gulberg","Gulberg","Mobile Snatching","night","Monday","9","2","24.905","67.05","high","0.44","0.36"
"108","2024-01-22","shah-faisal","Shah Faisal","Burglary","night","Monday","9","2","24.884","67.162","high","0.48","0.39"
"109","2024-01-22","pechs","PECHS","Assault","night","Monday","7","1","24.8775","67.0746","high","0.31","0.24"
"110","2024-01-22","jamshed-town","Jamshed Town","Vehicle Theft","night","Monday","9","2","24.879","67.058","high","0.42","0.34"
"111","2024-01-22","surjani-town","Surjani Town","Fraud","day","Monday","9","3","25.002","67.066","high","0.62","0.49"
"112","2024-01-22","new-karachi","New Karachi","Bike Snatching","day","Monday","9","3","24.985","67.062","high","0.6","0.48"
"113","2024-01-22","scheme-33","Scheme 33","Kidnapping","night","Monday","9","2","24.956","67.153","medium","0.45","0.36"
"114","2024-01-22","sohrab-goth","Sohrab Goth","Robbery","day","Monday","9","3","25.001","67.122","medium","0.64","0.51"
"115","2024-01-22","sakhi-hasan","Sakhi Hasan","Robbery","night","Monday","9","2","24.955","67.064","medium","0.41","0.33"
"116","2024-01-22","defence-view","Defence View","Mobile Snatching","night","Monday","7","1","24.821","67.021","medium","0.29","0.21"
"117","2024-01-22","kharadar","Kharadar","Kidnapping","night","Monday","9","2","24.846","67.004","medium","0.5","0.4"
"118","2024-01-22","site-area","SITE Area","Assault","day","Monday","9","3","24.936","67","medium","0.61","0.5"
"119","2024-01-22","banaras","Banaras","Bike Snatching","day","Monday","9","3","24.972","67.013","medium","0.65","0.53"
"120","2024-01-22","mehmoodabad","Mehmoodabad","Fraud","night","Monday","9","2","24.8465","67.0588","high","0.47","0.37"
"121","2024-01-29","clifton","Clifton","Bike Snatching","night","Monday","4","1","24.8138","67.0306","high","0.28","0.22"
"122","2024-01-29","dha","DHA","Robbery","night","Monday","4","1","24.8055","67.0672","high","0.25","0.19"
"123","2024-01-29","saddar","Saddar","Kidnapping","night","Monday","8","3","24.8547","67.0268","high","0.52","0.44"
"124","2024-01-29","gulshan","Gulshan","Burglary","day","Monday","4","2","24.9207","67.0862","high","0.41","0.33"
"125","2024-01-29","gulistan-e-johar","Gulistan-e-Johar","Burglary","day","Monday","4","2","24.92","67.1344","high","0.43","0.35"
"126","2024-01-29","nazimabad","Nazimabad","Mobile Snatching","day","Monday","4","2","24.9262","67.0407","high","0.47","0.38"
"127","2024-01-29","north-nazimabad","North Nazimabad","Mobile Snatching","night","Monday","4","1","24.9388","67.0453","medium","0.34","0.28"
"128","2024-01-29","lyari","Lyari","Kidnapping","night","Monday","8","3","24.8607","66.9904","medium","0.68","0.52"
"129","2024-01-29","malir","Malir","Bike Snatching","day","Monday","4","2","24.8937","67.1984","high","0.49","0.41"
"130","2024-01-29","korangi","Korangi","Drug Offense","day","Monday","4","2","24.8323","67.1474","high","0.51","0.43"
"131","2024-01-29","landhi","Landhi","Fraud","night","Monday","8","3","24.84","67.19","high","0.58","0.46"
"132","2024-01-29","orangi-town","Orangi Town","Bike Snatching","night","Monday","8","3","24.9519","66.9698","high","0.69","0.55"
"133","2024-01-29","baldia-town","Baldia Town","Fraud","night","Monday","8","3","24.9383","66.9448","high","0.66","0.53"
"134","2024-01-29","keamari","Keamari","Fraud","night","Monday","8","3","24.815","66.975","medium","0.63","0.5"
"135","2024-01-29","garden","Garden","Drug Offense","day","Monday","4","2","24.8733","67.0167","medium","0.46","0.37"
"136","2024-01-29","fb-area","FB Area","Burglary","day","Monday","4","2","24.933","67.07","high","0.39","0.31"
"137","2024-01-29","gulberg","Gulberg","Vehicle Theft","day","Monday","4","2","24.905","67.05","high","0.44","0.36"
"138","2024-01-29","shah-faisal","Shah Faisal","Robbery","day","Monday","4","2","24.884","67.162","high","0.48","0.39"
"139","2024-01-29","pechs","PECHS","Drug Offense","night","Monday","4","1","24.8775","67.0746","high","0.31","0.24"
"140","2024-01-29","jamshed-town","Jamshed Town","Bike Snatching","day","Monday","4","2","24.879","67.058","high","0.42","0.34"
"141","2024-01-29","surjani-town","Surjani Town","Kidnapping","night","Monday","8","3","25.002","67.066","high","0.62","0.49"
"142","2024-01-29","new-karachi","New Karachi","Burglary","night","Monday","8","3","24.985","67.062","high","0.6","0.48"
"143","2024-01-29","scheme-33","Scheme 33","Street Crime","day","Monday","4","2","24.956","67.153","medium","0.45","0.36"
"144","2024-01-29","sohrab-goth","Sohrab Goth","Assault","night","Monday","8","3","25.001","67.122","medium","0.64","0.51"
"145","2024-01-29","sakhi-hasan","Sakhi Hasan","Assault","day","Monday","4","2","24.955","67.064","medium","0.41","0.33"
"146","2024-01-29","defence-view","Defence View","Vehicle Theft","night","Monday","4","1","24.821","67.021","medium","0.29","0.21"
"147","2024-01-29","kharadar","Kharadar","Street Crime","day","Monday","4","2","24.846","67.004","medium","0.5","0.4"
"148","2024-01-29","site-area","SITE Area","Drug Offense","night","Monday","8","3","24.936","67","medium","0.61","0.5"
"149","2024-01-29","banaras","Banaras","Burglary","night","Monday","8","3","24.972","67.013","medium","0.65","0.53"
"150","2024-01-29","mehmoodabad","Mehmoodabad","Kidnapping","day","Monday","4","2","24.8465","67.0588","high","0.47","0.37"
"151","2024-02-05","clifton","Clifton","Burglary","day","Monday","3","1","24.8138","67.0306","high","0.28","0.22"
"152","2024-02-05","dha","DHA","Assault","day","Monday","3","1","24.8055","67.0672","high","0.25","0.19"
"153","2024-02-05","saddar","Saddar","Street Crime","night","Monday","9","3","24.8547","67.0268","high","0.52","0.44"
"154","2024-02-05","gulshan","Gulshan","Robbery","night","Monday","7","2","24.9207","67.0862","high","0.41","0.33"
"155","2024-02-05","gulistan-e-johar","Gulistan-e-Johar","Robbery","night","Monday","7","2","24.92","67.1344","high","0.43","0.35"
"156","2024-02-05","nazimabad","Nazimabad","Vehicle Theft","night","Monday","7","2","24.9262","67.0407","high","0.47","0.38"
"157","2024-02-05","north-nazimabad","North Nazimabad","Vehicle Theft","day","Monday","3","1","24.9388","67.0453","medium","0.34","0.28"
"158","2024-02-05","lyari","Lyari","Street Crime","night","Monday","9","3","24.8607","66.9904","medium","0.68","0.52"
"159","2024-02-05","malir","Malir","Burglary","night","Monday","7","2","24.8937","67.1984","high","0.49","0.41"
"160","2024-02-05","korangi","Korangi","Fraud","night","Monday","7","2","24.8323","67.1474","high","0.51","0.43"
"161","2024-02-05","landhi","Landhi","Kidnapping","night","Monday","9","3","24.84","67.19","high","0.58","0.46"
"162","2024-02-05","orangi-town","Orangi Town","Burglary","night","Monday","9","3","24.9519","66.9698","high","0.69","0.55"
"163","2024-02-05","baldia-town","Baldia Town","Kidnapping","night","Monday","9","3","24.9383","66.9448","high","0.66","0.53"
"164","2024-02-05","keamari","Keamari","Kidnapping","night","Monday","9","3","24.815","66.975","medium","0.63","0.5"
"165","2024-02-05","garden","Garden","Fraud","night","Monday","7","2","24.8733","67.0167","medium","0.46","0.37"
"166","2024-02-05","fb-area","FB Area","Robbery","night","Monday","7","2","24.933","67.07","high","0.39","0.31"
"167","2024-02-05","gulberg","Gulberg","Bike Snatching","night","Monday","7","2","24.905","67.05","high","0.44","0.36"
"168","2024-02-05","shah-faisal","Shah Faisal","Assault","night","Monday","7","2","24.884","67.162","high","0.48","0.39"
"169","2024-02-05","pechs","PECHS","Fraud","day","Monday","3","1","24.8775","67.0746","high","0.31","0.24"
"170","2024-02-05","jamshed-town","Jamshed Town","Burglary","night","Monday","7","2","24.879","67.058","high","0.42","0.34"
"171","2024-02-05","surjani-town","Surjani Town","Street Crime","night","Monday","9","3","25.002","67.066","high","0.62","0.49"
"172","2024-02-05","new-karachi","New Karachi","Robbery","night","Monday","9","3","24.985","67.062","high","0.6","0.48"
"173","2024-02-05","scheme-33","Scheme 33","Mobile Snatching","night","Monday","7","2","24.956","67.153","medium","0.45","0.36"
"174","2024-02-05","sohrab-goth","Sohrab Goth","Drug Offense","night","Monday","9","3","25.001","67.122","medium","0.64","0.51"
"175","2024-02-05","sakhi-hasan","Sakhi Hasan","Drug Offense","night","Monday","7","2","24.955","67.064","medium","0.41","0.33"
"176","2024-02-05","defence-view","Defence View","Bike Snatching","day","Monday","3","1","24.821","67.021","medium","0.29","0.21"
"177","2024-02-05","kharadar","Kharadar","Mobile Snatching","night","Monday","7","2","24.846","67.004","medium","0.5","0.4"
"178","2024-02-05","site-area","SITE Area","Fraud","night","Monday","9","3","24.936","67","medium","0.61","0.5"
"179","2024-02-05","banaras","Banaras","Robbery","night","Monday","9","3","24.972","67.013","medium","0.65","0.53"
"180","2024-02-05","mehmoodabad","Mehmoodabad","Street Crime","night","Monday","7","2","24.8465","67.0588","high","0.47","0.37"
"181","2024-02-12","clifton","Clifton","Robbery","night","Monday","6","1","24.8138","67.0306","high","0.28","0.22"
"182","2024-02-12","dha","DHA","Drug Offense","night","Monday","6","1","24.8055","67.0672","high","0.25","0.19"
"183","2024-02-12","saddar","Saddar","Mobile Snatching","day","Monday","8","3","24.8547","67.0268","high","0.52","0.44"
"184","2024-02-12","gulshan","Gulshan","Assault","night","Monday","8","2","24.9207","67.0862","high","0.41","0.33"
"185","2024-02-12","gulistan-e-johar","Gulistan-e-Johar","Assault","night","Monday","8","2","24.92","67.1344","high","0.43","0.35"
"186","2024-02-12","nazimabad","Nazimabad","Bike Snatching","night","Monday","8","2","24.9262","67.0407","high","0.47","0.38"
"187","2024-02-12","north-nazimabad","North Nazimabad","Bike Snatching","night","Monday","6","1","24.9388","67.0453","medium","0.34","0.28"
"188","2024-02-12","lyari","Lyari","Mobile Snatching","day","Monday","8","3","24.8607","66.9904","medium","0.68","0.52"
"189","2024-02-12","malir","Malir","Robbery","night","Monday","8","2","24.8937","67.1984","high","0.49","0.41"
"190","2024-02-12","korangi","Korangi","Kidnapping","night","Monday","8","2","24.8323","67.1474","high","0.51","0.43"
"191","2024-02-12","landhi","Landhi","Street Crime","day","Monday","8","3","24.84","67.19","high","0.58","0.46"
"192","2024-02-12","orangi-town","Orangi Town","Robbery","day","Monday","8","3","24.9519","66.9698","high","0.69","0.55"
"193","2024-02-12","baldia-town","Baldia Town","Street Crime","day","Monday","8","3","24.9383","66.9448","high","0.66","0.53"
"194","2024-02-12","keamari","Keamari","Street Crime","day","Monday","8","3","24.815","66.975","medium","0.63","0.5"
"195","2024-02-12","garden","Garden","Kidnapping","night","Monday","8","2","24.8733","67.0167","medium","0.46","0.37"
"196","2024-02-12","fb-area","FB Area","Assault","night","Monday","8","2","24.933","67.07","high","0.39","0.31"
"197","2024-02-12","gulberg","Gulberg","Burglary","night","Monday","8","2","24.905","67.05","high","0.44","0.36"
"198","2024-02-12","shah-faisal","Shah Faisal","Drug Offense","night","Monday","8","2","24.884","67.162","high","0.48","0.39"
"199","2024-02-12","pechs","PECHS","Kidnapping","night","Monday","6","1","24.8775","67.0746","high","0.31","0.24"
"200","2024-02-12","jamshed-town","Jamshed Town","Robbery","night","Monday","8","2","24.879","67.058","high","0.42","0.34"
"201","2024-02-12","surjani-town","Surjani Town","Mobile Snatching","day","Monday","8","3","25.002","67.066","high","0.62","0.49"
"202","2024-02-12","new-karachi","New Karachi","Assault","day","Monday","8","3","24.985","67.062","high","0.6","0.48"
"203","2024-02-12","scheme-33","Scheme 33","Vehicle Theft","night","Monday","8","2","24.956","67.153","medium","0.45","0.36"
"204","2024-02-12","sohrab-goth","Sohrab Goth","Fraud","day","Monday","8","3","25.001","67.122","medium","0.64","0.51"
"205","2024-02-12","sakhi-hasan","Sakhi Hasan","Fraud","night","Monday","8","2","24.955","67.064","medium","0.41","0.33"
"206","2024-02-12","defence-view","Defence View","Burglary","night","Monday","6","1","24.821","67.021","medium","0.29","0.21"
"207","2024-02-12","kharadar","Kharadar","Vehicle Theft","night","Monday","8","2","24.846","67.004","medium","0.5","0.4"
"208","2024-02-12","site-area","SITE Area","Kidnapping","day","Monday","8","3","24.936","67","medium","0.61","0.5"
"209","2024-02-12","banaras","Banaras","Assault","day","Monday","8","3","24.972","67.013","medium","0.65","0.53"
"210","2024-02-12","mehmoodabad","Mehmoodabad","Mobile Snatching","night","Monday","8","2","24.8465","67.0588","high","0.47","0.37"
"211","2024-02-19","clifton","Clifton","Assault","night","Monday","7","1","24.8138","67.0306","high","0.28","0.22"
"212","2024-02-19","dha","DHA","Fraud","night","Monday","7","1","24.8055","67.0672","high","0.25","0.19"
"213","2024-02-19","saddar","Saddar","Vehicle Theft","night","Monday","11","3","24.8547","67.0268","high","0.52","0.44"
"214","2024-02-19","gulshan","Gulshan","Drug Offense","day","Monday","7","2","24.9207","67.0862","high","0.41","0.33"
"215","2024-02-19","gulistan-e-johar","Gulistan-e-Johar","Drug Offense","day","Monday","7","2","24.92","67.1344","high","0.43","0.35"
"216","2024-02-19","nazimabad","Nazimabad","Burglary","day","Monday","7","2","24.9262","67.0407","high","0.47","0.38"
"217","2024-02-19","north-nazimabad","North Nazimabad","Burglary","night","Monday","7","1","24.9388","67.0453","medium","0.34","0.28"
"218","2024-02-19","lyari","Lyari","Vehicle Theft","night","Monday","11","3","24.8607","66.9904","medium","0.68","0.52"
"219","2024-02-19","malir","Malir","Assault","day","Monday","7","2","24.8937","67.1984","high","0.49","0.41"
"220","2024-02-19","korangi","Korangi","Street Crime","day","Monday","7","2","24.8323","67.1474","high","0.51","0.43"
"221","2024-02-19","landhi","Landhi","Mobile Snatching","night","Monday","11","3","24.84","67.19","high","0.58","0.46"
"222","2024-02-19","orangi-town","Orangi Town","Assault","night","Monday","11","3","24.9519","66.9698","high","0.69","0.55"
"223","2024-02-19","baldia-town","Baldia Town","Mobile Snatching","night","Monday","11","3","24.9383","66.9448","high","0.66","0.53"
"224","2024-02-19","keamari","Keamari","Mobile Snatching","night","Monday","11","3","24.815","66.975","medium","0.63","0.5"
"225","2024-02-19","garden","Garden","Street Crime","day","Monday","7","2","24.8733","67.0167","medium","0.46","0.37"
"226","2024-02-19","fb-area","FB Area","Drug Offense","day","Monday","7","2","24.933","67.07","high","0.39","0.31"
"227","2024-02-19","gulberg","Gulberg","Robbery","day","Monday","7","2","24.905","67.05","high","0.44","0.36"
"228","2024-02-19","shah-faisal","Shah Faisal","Fraud","day","Monday","7","2","24.884","67.162","high","0.48","0.39"
"229","2024-02-19","pechs","PECHS","Street Crime","night","Monday","7","1","24.8775","67.0746","high","0.31","0.24"
"230","2024-02-19","jamshed-town","Jamshed Town","Assault","day","Monday","7","2","24.879","67.058","high","0.42","0.34"
"231","2024-02-19","surjani-town","Surjani Town","Vehicle Theft","night","Monday","11","3","25.002","67.066","high","0.62","0.49"
"232","2024-02-19","new-karachi","New Karachi","Drug Offense","night","Monday","11","3","24.985","67.062","high","0.6","0.48"
"233","2024-02-19","scheme-33","Scheme 33","Bike Snatching","day","Monday","7","2","24.956","67.153","medium","0.45","0.36"
"234","2024-02-19","sohrab-goth","Sohrab Goth","Kidnapping","night","Monday","11","3","25.001","67.122","medium","0.64","0.51"
"235","2024-02-19","sakhi-hasan","Sakhi Hasan","Kidnapping","day","Monday","7","2","24.955","67.064","medium","0.41","0.33"
"236","2024-02-19","defence-view","Defence View","Robbery","night","Monday","7","1","24.821","67.021","medium","0.29","0.21"
